,rel,masked_sent,subj_id,subj,pred,gt,is_correct,true_with_evidence,true_with_csk,unknown,false_with_csk,false_with_counterevidence,source,mturk_worker,mturk_true_with_evidence,mturk_true_with_csk,mturk_unknown,mturk_false_with_csk,mturk_false_with_counterevidence,mturk_comment,mturk_link,mturk_snippet,assignment_status,assignment_duration_in_seconds,changed_voting_after_rejection,from_false_to_true,from_true_to_false
0,P103,The native language of Philippe Champion is [MASK] .,Q65572394,Philippe Champion,French,French,TRUE,False,True,False,False,False,https://www.wikidata.org/wiki/Q65572394,AY0BJCGY2DHIX,False,True,False,False,False,"He's the mayor of a town in France, so he's likely to be from the region, and to have grown up speaking French.",https://www.wikiwand.com/en/Hannappes,Hannappes (French pronunciation: ​[anap]) is a commune in the Ardennes department in northern France. (and on the panel to the right)  • Mayor (2020–2026) Philippe Champion,Approved,4th_mturk_batch,false,false,false
1,P103,The native language of Carlos Santos Neto is [MASK] .,Q89904413,Carlos Santos Neto,Portuguese,Portuguese,TRUE,False,True,False,False,False,https://www.jusbrasil.com.br/processos/nome/29175755/carlos-santos-neto,A35BY30TC8WCL4,False,True,False,False,False,"Everything indicates he's Brazilian, or at least living in Brazil so it's very plausible/probable but there's no clear evidence.",,,Approved,3rd_mturk_batch,true,true,false
2,P159,The headquarter of Tidö Castle is in [MASK] .,Q7800937,Tidö Castle,Stockholm,Västeras,FALSE,False,False,False,False,True,https://en.wikipedia.org/wiki/Tid%C3%B6_Castle,A1NF6PELRKACS9,False,False,False,False,True,"Västerås is away from Stockholm, so it is a direct counter evidence",https://www.spottinghistory.com/view/1385/tido-castle/,"ADDRESS Tidö Slott 1, Västerås, Sweden",Approved,3rd_mturk_batch,true,false,true
3,P103,The native language of Richard Hobart Dorman is [MASK] .,Q75889870,Richard Hobart Dorman,English,"English, Irish",TRUE,False,True,False,False,False,https://www.thepeerage.com/p38354.htm#i383540,A3HALUPLZ4IKYJ,False,True,False,False,False,I don't have clear evidence but with commonsense the I vote plausible.,https://www.dia.ie/architects/view/1586/DORMAN%2C+RICHARD+HENRY,"County surveyor for Co. Armagh, 1887-1921.(1) Richard Henry Dorman was born in Cork on 18 May 1858, the fifth son of the Rev. Thomas Dorman of Richmond House, Cork, curate of St Anne's, Shandon, Cork,(2) by his wife Charlotte Isabella, née Hobart. He was a younger brother of JOHN WILLIAM DORMAN   and uncle of WILLIAM STEWART HOBART DORMAN   and HENRY CHUDLEIGH DORMAN  . After attending the Royal Indian Engineering College at Cooper's Hill, Surrey, he served in the Public Works Department at Madras from 1879 to 1882, and also worked in England and in west Co. Cork.",Approved,3rd_mturk_batch,false,false,false
4,P27,Fabio Grillo is [MASK] citizen .,Q57021980,Fabio Grillo,Italy,Italy,TRUE,False,True,False,False,False,https://www.linkedin.com/in/fabio-grillo/?originalSubdomain=nl,A3HALUPLZ4IKYJ,False,True,False,False,False,It is plausible that statement is true but I dont have clear evidenece so I select this with commonsense.,https://www.researchgate.net/profile/Fabio-Grillo,"Fabio GRILLO | Cited by 592 | of ETH Zurich, Zürich (ETH Zürich) | Read 42 publications | Contact Fabio GRILLO.",Approved,3rd_mturk_batch,false,false,false
5,P176,Furness London is produced by [MASK] .,Q83639966,Furness London,Vickers,Iwagi Shopbuilding,False,False,False,False,False,True,https://www.shipspotting.com/photos/1431374,A3JN18TC8GL3IH,False,False,False,False,True,,https://www.shipspotting.com/photos/1431374,manufacturer details below,Approved,3rd_mturk_batch,false,false,false
6,P27,Hisashi Makino is [MASK] citizen .,Q92122330,Hisashi Makino,Japan,Japan,TRUE,False,True,False,False,False,https://nrid.nii.ac.jp/en/nrid/1000080399609/,A3HALUPLZ4IKYJ,True,False,False,False,False,It is clear that statement is true so I select true.,https://www.researchgate.net/scientific-contributions/Hisashi-Minakuchi-37144365,"Hisashi Minakuchi's 35 research works with 141 citations and 857 reads, including: Numerical simulation of thermo-solutal Marangoni convection in a floating ..",Approved,3rd_mturk_batch,false,false,false
7,P103,The native language of Liga Lepse is [MASK] .,Q89945045,Liga Lepse,Latvian,Latvian,TRUE,True,False,False,False,False,https://www.linkedin.com/in/liga-lepse-1961b1130/details/skills/,A35BY30TC8WCL4,False,True,False,False,False,"He lives and works in Latvia so it's entirely plausible, however nothing I can find suggests that he's ethnically Latvian, or that he was born there, or that he's lived most of his life there, or whatever.",,,Approved,3rd_mturk_batch,false,false,false
8,P27,Sravya Tekumalla is [MASK] citizen .,Q88574320,Sravya Tekumalla,India,India,TRUE,False,True,False,False,False,https://www.mpie.de/person/116158/3079071,A1EX0MEOPF8AHT,True,False,False,False,False,good,https://www.google.com/search?q=Sravya+Tekumalla&client=firefox-b-e&sxsrf=ALiCzsbbUDg_1cR1DcKLVkLo1vTrEQclKQ%3A1664463481019&ei=ebI1Y9xa-Ir27w-rwYNY&ved=0ahUKEwic-5vUobr6AhV4hf0HHavgAAsQ4dUDCA0&uact=5&oq=Sravya+Tekumalla&gs_lcp=Cgdnd3Mtd2l6EAMyBAgjECcyBQguEIAESgQIQRgBSgQIRhgAUMYDWMYDYIoFaAFwAHgAgAF8iAF8kgEDMC4xmAEAoAECoAEBwAEB&sclient=gws-wiz,"Sravya Tekumalla is a presidential postdoctoral fellow and a principal investigator at Nanyang Technological University, Singapore. She is a materials scientist and works to unravel the potential of different novel and advanced metallic materials for aerospace, automobile, biomedical and electronic applications",Approved,3rd_mturk_batch,false,false,false
9,P103,The native language of William Irving is [MASK] .,Q76195177,William Irving,English,English,TRUE,True,False,False,False,False,https://en.wikipedia.org/wiki/William_Irving_(British_politician),A3V5IIPZ95YVKH,False,True,False,False,False,Irving was a US politician.,https://en.wikipedia.org/wiki/William_Irving_(politician),Irving was born in New York City,Approved,3rd_mturk_batch,false,false,false
